PGA,PGV,PGD,I_A,CAV,\dfracPGAPGV,I_AS,SMD_TB,SMD_ROG,SMD_Bolt,P_90,a_rms,I_c,I_FVF,I_RG,SI_H,DI_PA
221.0969,26.219,10.4415,74.9967,812.3864,8.4327,4.1886,12.55,20.73,8.44,5.3854,58.0146,1565.4104,49.3488,24.2648,96.4421,0.11900000000000001
165.9376,29.0932,157.4878,47.5194,559.7762,5.7036999999999995,2.4471,14.055,16.45,12.09,3.0482,43.6371,1080.6866,56.3311,380.0644,83.4395,0.145
94.7269,8.9444,1.1039,13.0112,273.9864,10.5907,1.0533,7.68,10.85,3.85,1.5248,30.8681,475.2764,14.8898,2.1779,27.1619,0.034
272.0476,22.9321,5.9667,105.4719,905.526,11.8632,5.7614,12.99,19.68,13.885,7.3082,67.5582,2001.342,43.5357,14.0262,108.196,0.14300000000000002
204.3906,11.9069,1.3888,22.9847,374.4597,17.1657,0.48181,11.51,16.8,3.015,1.7999,33.5288,658.6656,21.9314,3.1358,28.911,0.035
571.2244,24.397,2.2568,363.3027,1505.13,23.4137,4.2644,12.32,14.24,18.55,26.5431,128.8033,5130.9264,45.7078,5.2122,69.3661,0.083
300.9597,42.809,10.4852,122.9674,762.7894,7.0303,0.7923500000000001,9.76,11.5,12.12,11.3672,84.2969,2417.9227,75.6654,22.4074,162.8714,0.222
847.5315,67.6879,21.1193,567.2129,1467.9068,12.5212,0.8614700000000001,6.9564,8.547,10.3224,73.3833,214.1785,8267.1523,109.9276,40.3157,204.3608,0.525
202.4628,7.3326,0.74275,62.5221,650.5378,27.6112,0.46167,11.47,14.58,10.96,4.9118,55.4086,1396.8426,13.4943,1.6751,23.4169,0.029
118.778,8.9256,1.1708,9.484,185.6392,13.3075,0.14049,6.45,9.645,2.59,1.3259,28.784,392.1996,14.2243,2.1793,22.1937,0.03
110.8645,7.801,17.9285,15.5665,344.4512,14.211500000000001,0.12123,17.13,20.515,10.215,0.8177800000000001,22.6025,444.7472,15.8706,46.2163,33.3966,0.054
