HI,PGA,Vmax/amax,ASI,TSIGN,TBRAC,PP,CAV,SED,TUD,EPA,PGV,PGD,Ia,Htot,ecc_tot,Vw1,Vw2,class_3
0.691329,0.525641,0.355255,0.659355,0.197677,0.291892,0.281145,0.484072,0.290723,0.450605,0.656446,0.606326,0.524756,0.472252,0,0,0.948052,0.95,B
0.404966,0.343401,0.221193,0.410671,1,1,0.137468,1,0.315822,0.911717,0.417012,0.280982,0.23455,0.501242,0,0,0.948052,0.95,A
0.382833,0.365887,0.29469,0.441108,0.258458,0.25115,0.346741,0.336403,0.076172,0.286741,0.44392,0.366335,0.14372,0.19417,0,0,0.948052,0.95,A
0.32287,0.260644,0.299523,0.263989,0.208726,0.183062,0.187647,0.224404,0.045224,0.169502,0.264321,0.263098,0.080034,0.091103,0,0,0.948052,0.95,A
0.259153,0.413575,0.115396,0.427547,0.206184,0.22599,0.061072,0.28592,0.035196,0.281489,0.42919,0.231042,0.072069,0.171591,0,0,0.948052,0.95,A
0.182127,0.308613,0.159461,0.393319,0.220514,0.25418,0.244549,0.250834,0.018763,0.219126,0.395575,0.204729,0.031175,0.12643,0,0,0.948052,0.95,A
0.680414,0.926634,0.136062,0.81227,0.153992,0.32743,0.378169,0.491073,0.21546,0.371536,0.81448,0.571831,0.281341,0.529394,0,0,0.948052,0.95,C
0.142294,0.167788,0.212493,0.165445,0.313594,0.154399,0.167645,0.159582,0.015085,0.062895,0.166972,0.131375,0.046105,0.039358,0,0,0.948052,0.95,A
0.05837,0.16193,0.073364,0.171853,0.33369,0.175872,0.11745,0.16045,0.003335,0.070875,0.171464,0.069813,0.017229,0.038886,0,0,0.948052,0.95,A
0.124425,0.159999,0.272191,0.155199,0.244515,0.219882,0.019063,0.144466,0.019838,0.082338,0.159591,0.149166,0.106532,0.042055,0,0,0.948052,0.95,A
0.675761,0.522511,0.438352,0.660988,0.185364,0.244461,0.18538,0.503199,0.692493,0.478893,0.66073,0.709878,0.773003,0.502328,0,0,0.948052,0.95,B
0.430182,0.239955,0.710343,0.26207,0.189791,0.213153,0.412921,0.266635,0.206948,0.237524,0.266054,0.488033,0.481926,0.129105,0,0,0.948052,0.95,A
0.545036,0.520591,0.351555,0.468468,0.133207,0.190163,0.110278,0.28878,0.297604,0.216465,0.47054,0.59573,0.547599,0.199095,0,0,0.948052,0.95,B
0.590827,0.530129,0.484051,0.634485,0.116231,0.183982,0.131751,0.354823,0.518216,0.291935,0.636757,0.780064,0.741521,0.295876,0,0,0.948052,0.95,B
0.615481,0.47442,0.59268,0.445423,0.179719,0.190719,0,0.367947,0.432329,0.320953,0.451654,0.825292,0.729102,0.286523,0,0,0.948052,0.95,A
0.061921,0.301827,0.036199,0.314554,0.02744,0.028779,0.161429,0.063388,0.002278,0.037692,0.314383,0.107647,0.008186,0.031861,0,0,0.948052,0.95,A
0.444662,0.366438,0.383321,0.365515,0.325858,0.281926,0.203539,0.325262,0.158088,0.252447,0.367848,0.447376,0.309987,0.150675,0,0,0.948052,0.95,A
0.318215,0.237962,0.348455,0.331224,0.32956,0.342882,0.143719,0.372887,0.141766,0.358113,0.332467,0.268978,0.258385,0.173172,0,0,0.948052,0.95,A
0.20436,0.336199,0.09743,0.348433,0.255293,0.217561,0.119784,0.268952,0.029022,0.224013,0.352604,0.17175,0.057678,0.123634,0,0,0.948052,0.95,A
0.348786,0.460603,0.177961,0.582588,0.148761,0.187287,0.168871,0.383107,0.113569,0.311227,0.580581,0.329168,0.300463,0.298831,0,0,0.948052,0.95,A
0.217405,0.243831,0.251625,0.322056,0.219603,0.178224,0.372977,0.232621,0.024295,0.161533,0.326466,0.216777,0.061854,0.107907,0,0,0.948052,0.95,A
0.098052,0.120797,0.309623,0.131075,0.343792,0.014628,0.144395,0.108506,0.026179,0.015359,0.130468,0.12322,0.150742,0.019462,0,0,0.532468,0.5125,A
0.345495,0.331772,0.239859,0.330082,0.376911,0.382722,0.274057,0.405542,0.082021,0.36471,0.332932,0.286693,0.154522,0.20673,0,0,0.532468,0.5125,B
0.160743,0.056712,0.736509,0.050818,0.871188,0,0.863428,0.238233,0.046819,0,0.051186,0.120692,0.18325,0.029418,0,0,0.532468,0.5125,A
0.14677,0.055122,0.688144,0.062889,0.526549,0,0.811465,0.157842,0.030881,0,0.062674,0.110224,0.089317,0.020674,0,0,0.532468,0.5125,A
0.452843,0.245836,0.475084,0.250983,0.254791,0.261916,0.747467,0.302426,0.188302,0.283925,0.254565,0.355633,0.321784,0.160698,0,0,0.532468,0.5125,B
0.082811,0.190127,0.049465,0.164113,0.131969,0.129264,0.019063,0.098594,0.003448,0.072245,0.16925,0.071654,0.015424,0.033538,0,0,0.532468,0.5125,A
0.076247,0.323396,0,0.364675,0.178719,0.182243,0.134627,0.265233,0.007854,0.253141,0.369292,0.08674,0.025205,0.150933,0,0,0.532468,0.5125,A
0.340621,0.552603,0.152228,0.632835,0.16821,0.201352,0.068751,0.305955,0.045559,0.269312,0.637207,0.360871,0.09985,0.237241,0,0,0.532468,0.5125,C
0.03605,0.161882,0.004567,0.128489,0.113696,0.073193,0.044106,0.075759,0.001141,0.040572,0.132746,0.041699,0.00289,0.022166,0,0,0.532468,0.5125,A
0.532848,0.531021,0.219726,0.642701,0.085568,0.160959,0.246841,0.322176,0.098394,0.281762,0.64738,0.435014,0.174153,0.343806,0,0,0.532468,0.5125,C
1,0.839867,0.369588,0.878854,0.087491,0.223692,0.221545,0.468044,0.388463,0.348515,0.886782,1,0.380244,0.637349,0,0,0.532468,0.5125,C
0.402219,0.421988,0.173128,0.440379,0.287322,0.329334,0.158891,0.372635,0.097712,0.355167,0.441385,0.296128,0.116795,0.256164,0,0,0.532468,0.5125,B
0.201888,0.530435,0.080264,0.617196,0.085322,0.148221,0.233267,0.260163,0.01829,0.180266,0.620952,0.251959,0.044073,0.229914,0,0,0.532468,0.5125,C
0.689824,0.659962,0.29899,0.624334,0.239112,0.334857,0.475507,0.540384,0.206205,0.469062,0.634639,0.670535,0.425268,0.641643,0,0,0.532468,0.5125,C
0.345725,0.267565,0.735109,0.285862,0.336478,0.37289,0.183088,0.318876,0.404823,0.314301,0.288133,0.560476,0.902065,0.158865,0,0,0.532468,0.5125,B
0.559965,0.651195,0.226459,0.714487,0.475404,0.644141,0.103638,0.982334,0.197051,1,0.71498,0.545259,0.204151,0.968026,0,0,0.532468,0.5125,C
0.30487,0.194004,0.856371,0.214186,0.435837,0.324793,0.331898,0.340549,0.455276,0.265955,0.215783,0.466031,1,0.113304,0,0,0.532468,0.5125,A
0.896706,0.904796,0.220493,0.994512,0.109011,0.650518,0.171299,0.727761,0.328466,0.498675,0.995876,0.746017,0.301264,1,0,0,0.532468,0.5125,C
0.651911,0.452288,0.646978,0.440807,0.507132,0.622706,0.255425,0.704877,1,0.748199,0.44652,0.847492,0.848786,0.466126,0,0,0.532468,0.5125,C
0.279968,0.158592,0.907736,0.202671,0.4998,0.368552,0.224522,0.394087,0.468262,0.335642,0.202802,0.402161,0.864681,0.136577,0,0,0.532468,0.5125,A
0.32322,0.180064,1,0.225574,0.502561,0.468264,0.210364,0.431117,0.503349,0.41219,0.226581,0.497797,0.860598,0.171444,0,0,0.532468,0.5125,B
0.845985,0.617825,0.326422,0.527027,0.128261,0.212298,0.196536,0.284919,0.311172,0.235579,0.52877,0.669298,0.370988,0.280126,0,0,0.532468,0.5125,C
